,Reviews
6409,"
These are nice shoes and look good, but the regular width is a very tight fit for me.  Overall quality seems good, but the proof of that is in a month or more of regular wearing.
"
6410,"
Quedó bien, no leí, pensé que era de tela. Pero muy bien igual
"
6411,"
Great pick!!!
"
6412,"
NOT TRUE TO SIZE ORDER 1/2 SIZE LARGER
"
6413,"
Really nice and comfortable. Very happy that I could find still classic silhouettes in sneakers. I recommend this shoe. It goes with almost everything in my closet even if I pair them with some dress pants.
"
6414,"
As with other reviewers, I found the shoes to be extremely narrow, especially in the toe box. These are probably the most narrow shoes I have ever owned, and I have narrow feet.  However, with some effort I have made them more comfortable. I am now able to use them, but not for extended periods of time. The shoes do look nice, and are very lightweight.
"
6415,"
Very comfortable, will buy another pair.
"
6416,"
Finos
"
6417,"
Sneakers fit good
"
6418,"
Love these Puma Shoes
"
6419,"
While I wear 11.5 I should have purchased a 12 for comfort as the fit is narrow. Nice shoe though.
"
6420,"
Have a slimmer fit, but still fit well
"
6421,"
anyone want a free pair of ahoes? i just bought them too small. or at least its small on one foot because i have torn ligaments and my foot is always swollen but i forgot. lol
"
6422,"
They look nice but there small
"
6423,"
Un buen producto, un gran diseño aunque muy ajustados en la talla.
"
6424,"
Like the design but narrow fit
"
6425,"
Not enough toe space
"
6426,"
Very nice classic style shoe but they were too narrow. I could tell as soon as I opened the box they wouldn't fit.
"
6427,"
Narrow! Tight fit.
"
6428,"
For a very long time, I've been unable to find Puma in my size until now. Thanks to Amazon, I found a pair. They look nice and feel great!
"
6429,"
As a school teacher, I've looked for a nice looking comfortable all-black shoe. This is more comfortable than a typical dressy shoe, but more lightweight than I expected. If you're looking for a durable athletic shoe, this is not it. Although I liked the price, I do not plan to buy this shoe again.
"
6430,"
They were a bit too tight but still wearable.
"
6431,"
I'm a 10W, or 10.5, (wide feet.) I ordered 11's since I read that you should size-up. I did. I received them and they still felt a little too tight even though I bought 1 size bigger than I usually do. My boyfriend tried them on (he's a real size 11) and they did NOT fit him comfortably... he would have to buy a 12 if he wanted these to fit him. I'll wear them even though they're slightly snug on me, but I would not buy them again. If you want these, order 1.5 bigger than you usually and they'll still feel a little snug.
"
6432,"
These are weird shoes, they don't seem shaped for human feet. I wear a 10 and ordered up a half size (10.5 D) --- the shoes are plenty long, but incredibly narrow. The ""fabric"" of the shoe is a fake leather that is more akin to plastic. The insole is virtually non-existent, the shoes are basically flat inside and provide no support, and the soles are cheapo, thin, and glued on rather than stitched. Terrible ventilation makes it feel like you're walking in a puddle when your feet start to sweat ... they don't breathe at all. I gave these 2 stars rather than 1 due to the low price, but honestly they're garbage for my needs so it's just $30 that I'll be throwing in the trash. NOT RECOMMENDED unless you have clown feet that never sweat.
"
6433,"
Good shoe for the money but these are quite a bit more narrow than my other puma medium shoes of same size 9.  Will see if they stretch out with some wear, if not these may not work for me.  Recommend you buy a size bigger than you normally wear.
"
6434,"
I gave it a 4 star cause they are very narrow shoes but comfortable fit I guess I will have to break them in maybe I should've ordered a 8 but instead I ordered a 7.5 if it wasn't for a concert coming up soon I would've returned them..
"
6435,"
Just as described, fit perfectly, and love the fact that this pair of great looking shoes are versatile enough to wear casually or semi-dressed up
"
6436,"
I had a pair of shoes in this style a few years ago. I enjoyed them so I decided to buy another pair to go with a pullover I purchased. I loved them then and I still love them now. They feel great when I wear them.
"
6437,"
Shoe was small to size
"
6438,"
I was specifically interested in the Romas because they had a ""leather upper for long wear and serious style"".  I ordered the shoes, on sale, from a participating Amazon vendor. My order was shipped and delivered as expected, but when I unwrapped the shoes, they had no leather... anywhere...  and the manufacturer's stickers stated ""other materials"".  I called Puma directly and was told that their shoes (as stated on their site) were made of leather and I should try to return them to Amazon for a leather pair.  I did so, thinking maybe a pair directly sourced from Amazon would be leather, as advertised.  I paid full price for the second pair of Romas (Black/NightShade/Orange... not my first color choice, but sourced and shipped directly from Amazon) and they were not leather either.  Very frustrated I called Puma again, and this time was told that the shoes on their site were only leather if they said ""Genuine Leather""!  Are you kidding me...?!?!  Talk about advertising that does not accurately represent the product.  Its great if you want to make animal friendly products, but call it what it is... synthetic!  DO NOT ORDER THESE IF YOU ACTUALLY WANT A LEATHER SHOE, YOU WILL RECEIVE ""OTHER MATERIAL"" SNEAKERS.
"
6439,"
Muy bueno producto
"
6440,"
Confortable
"
